Date,probiotics weight loss,diet probiotics,gut health weight,microbiome diet
2024-10-13,72,82,60,59
2024-10-20,0,43,60,51
2024-10-27,94,68,40,0
2024-11-03,68,72,34,60
2024-11-10,0,56,34,62
2024-11-17,69,47,0,0
2024-11-24,0,0,45,0
2024-12-01,60,58,49,72
2024-12-08,49,66,40,64
2024-12-15,59,57,42,0
2024-12-22,50,75,50,0
2024-12-29,63,68,52,83
2025-01-05,49,60,62,0
2025-01-12,0,63,46,74
2025-01-19,81,85,38,52
2025-01-26,86,91,57,79
2025-02-02,60,100,42,84
2025-02-09,71,53,35,0
2025-02-16,87,85,100,0
2025-02-23,93,97,52,0
2025-03-02,70,72,66,72
2025-03-09,73,73,83,54
2025-03-16,50,76,40,50
2025-03-23,55,72,76,74
2025-03-30,70,88,75,65
2025-04-06,83,42,46,73
2025-04-13,51,82,89,100
2025-04-20,86,54,74,60
2025-04-27,69,35,39,57
2025-05-04,81,53,54,70
2025-05-11,65,62,65,0
2025-05-18,90,62,49,59
2025-05-25,84,60,68,64
2025-06-01,67,65,57,69
2025-06-08,41,84,66,76
2025-06-15,67,48,74,60
2025-06-22,72,0,46,0
2025-06-29,100,42,58,0
2025-07-06,65,45,73,0
2025-07-13,65,62,69,65
2025-07-20,69,63,53,78
2025-07-27,42,84,0,0
2025-08-03,80,60,59,73
2025-08-10,60,60,48,0
2025-08-17,0,67,57,72
2025-08-24,51,68,59,0
2025-08-31,52,66,49,0
2025-09-07,42,49,32,52
2025-09-14,47,0,59,0
2025-09-21,0,44,75,0
2025-09-28,20,74,17,20
2025-10-05,49,57,38,54
2025-10-12,50,56,45,58
