trend_id,date,platform,keyword,post_text,hashtags
1,2025-09-28 7:50,googlenews,다이어트 유산균,"[잡담] 카톡 곧 개선방안 발표 - 인벤
https://news.google.com/rss/articles/CBMiZEFVX3lxTE5CZ1VuQ0o0amFKTXN5cDdLcS03WEdrNEtUWGdKeElYc1Z3T3U2NmQ4ZnlaT2RZd1dvdzNaSUtqV1JWSnRlc3ktNnlLZGRYS2dUQ05RQ3htcFY2OFpYR0ptdVhfOW8?oc=5",
2,2025-09-28 5:55,googlenews,다이어트 유산균,"[수다] 메고수들아 환산 4.5만 현명하게 60억 쓰는 길좀 알려줘 - 인벤
https://news.google.com/rss/articles/CBMiXEFVX3lxTE83eEtSclhGbTl0dWpyTnlzZ203MEZ5R2RqczNjWm1USDZfaV90ZkhGV1czbmxTQmwzV0RfT2Z5ZjJPRHhxMFdlZU15UkduemtWeGtiY3FCRWNzMWdm?oc=5",
3,2025-09-27 17:42,googlenews,다이어트 유산균,"작년 추석 2만개 '완판'…GS25, LA갈비세트 올해는 '2+1' - MSN
https://news.google.com/rss/articles/CBMiqAJBVV95cUxQOXk4d1E4UkRKV2QwVTlWeFlQVmVlbHpfNmJHMGVPaW1iaGI0VE1wSHYxNEdrNEpTVVY3eVo4QjFLRVY1bjk0TDY2cXNKSHk5NnZzWGZjNHZEUmZJT3Zud0hzWWNqSjlDbzRpUFdTQjN5X1NBMG1jcEtrZlFDd2ZhRVFZZkZLS0dFekROSG1yVGVYOW8tZi1TWjlRazBEZkFYRGVzeU85QktBa29xZDd4S2JoS01weFZHcE9YRVVPc0pQeDRzVmZfdkF0N2NsWXpGTkJtNDFvbnVMdnJBR1U3TnMtRnJmRGlDU2J5MkVGenFKV3F6YjNUYVJKaDdBbUJpM2stempPNnVUWFBWWFFGaTIteWNSSFk0cXhJalp3anpzVkZXRjFYaQ?oc=5",
4,2025-09-27 10:10,googlenews,다이어트 유산균,"달달한데 다이어트 중 먹어도 괜찮은 ‘추천 간식’ 3가지… 뭘까? - MSN
https://news.google.com/rss/articles/CBMigANBVV95cUxNTEFBcWdPNXd3a0UxVWJaSUpLNFBOcWs2V2RGQTNnRWNnTFdjeWpiNmlIOV9IUHlDeUpXS1Y3Wk1SaldiX3gtWDFIMmtSc0FOOURZR1I0MHNZc1p2NGI2dFkzRmIyQTNaSnRvQ2ZfVU5pSUp2UFU1MFhUN2NrZUhYczhuZ2g5R2dXcS0tNTRCbTMzcUpsWVZZNXJYdHg4Ti1uSzFDR1M5NjRHYUNVREpGNkl3bFh2VGJsQkt2OWVpa3V1cG1JaVNneDEwM3BvSnBuX3dRcnVQWXNPLVpiQUp1c1ZiMmpna2JVNG1NZksyNlVEM2kzNVAtTUlTR0wzRkNMV0tSc2NTY3FKTWtwSTlRSjNoRV9LQWozaHhNcDVUUXd0dlN1WWxTbjI4ZWRQY1V4SDI5Y3VwSVJVZmJDcWJLRGdsaWl2YVg2SEYwWk5oVXNFNC1XMlRMZTRabThFYS03R0RBaDYwUXNid0pNdVdnNXRxV2hpNkRRUTE2cVp6TjY?oc=5",
5,2025-09-27 6:06,googlenews,다이어트 유산균,"살 빼다 간 망가진다…다이어트 보조제, 안전하게 활용하려면? - 네이트
https://news.google.com/rss/articles/CBMiU0FVX3lxTE15NTdNbVpLaS1haUlmb29LMjhNM1NnYXk5SUtZZkxnNlBkSTNtVExHcmE3dUhHamNxVUVWWVdtamtSRkJ5SWtsY1Q2WGpUUXhxT1lF?oc=5",
6,2025-09-27 6:05,googlenews,다이어트 유산균,"살 빼다 간 망가진다…다이어트 보조제, 안전하게 활용하려면? - 코메디닷컴
https://news.google.com/rss/articles/CBMiQkFVX3lxTE9FVTgtb2I5QXBybUJWS0FsNE5sbW9nNEpuMkVaczRVZ1FaUk92anJWZE5PblNMNlUyQXNuOFptMktjQQ?oc=5",
7,2025-09-27 4:00,googlenews,다이어트 유산균,"‘비피더스균’ 다이어트 효과 진짜일까?... 의사의 유산균 선택법은 [팩트진찰대] - 하이닥
https://news.google.com/rss/articles/CBMiakFVX3lxTE0wM1AxcGVabHcxdG9GQXhYc09SNUNwVTFVTlIza2pwR0x4YkhkWlBVdklvZFM0NGxyYXFaMFM0X1h1bGdCWF9UYjFUUE1EWE91M2ZacF9Kbkt1akl3dVdOREJQZ3JTbkk2NGc?oc=5",
8,2025-09-25 23:35,googlenews,다이어트 유산균,"뉴트리 에버콜라겐, ‘2025 화이트오픈서울’ 참여...테니스 페스티벌서 액티브 뷰티 경험 선사 - 한국경제
https://news.google.com/rss/articles/CBMiWkFVX3lxTE5PZlNudWVCSklSdHZkOVJ1bUZhT2lkajJ0SEd2bFhUTGt5Y2pVU08yYTFEblpYUEJmaE1lNklDRlVhQTZSSXp5QThMTThxS2FPSEVxYnFxSjVvZ9IBVEFVX3lxTFBsNjVBcFotWm1tVTVKM0RTdU90eEM2QURETmR4T1AtbVd0a0ZLczBjWUgwc2tPb09pVmwwWHgtUmdtMUJOVUtTNzZkT1pJNVFXd2hTMg?oc=5",
9,2025-09-25 7:39,googlenews,다이어트 유산균,"2030세대 '혈당 관리' 보편화…일상 속 혈당 건강 음료 등 각광 - 스포츠조선
https://news.google.com/rss/articles/CBMieEFVX3lxTE9Ccmdrc3lOeGl3QjljMHVFSHlTSUtUSFRFNnI4VVYyWDhKR3dNQVhTX1hITnYtSklSc1NFYVloaU5HTnFTZHNxYl9EYTNzUml4Z1VQUkluWTQ5ZnREWTVHQkFteTRBM2JfVWctb2FhN2ZodXgxTHJPYg?oc=5",
10,2025-09-25 2:45,googlenews,다이어트 유산균,"작년 추석 2만개 '완판'…GS25, LA갈비세트 올해는 '2+1' - 네이트
https://news.google.com/rss/articles/CBMiU0FVX3lxTE14UlBfblk3ZmJGX2hVMDZuSmZTYVFtdUktS1hzRXlzaG1ULS03VW5XZDNISExUby1uTEFsTEdTR2pxWUdEWnIwUFl5NE1kREN4SnpB?oc=5",
11,2025-09-25 2:18,googlenews,다이어트 유산균,"한국 다이어터는 피하는데 해외선 난리…김치 ‘항비만 효능’ - ZUM 뉴스
https://news.google.com/rss/articles/CBMi8wJBVV95cUxPelFUaHZHZDNTUE1LTVZ2T0tmVGhJQkpLVGVIY3JYVFZiSzlXYWxTTmpjTl9QTGJua29MaWN5TDVfenpUUTNxakI5ZWV2WktfRHRaSmZYLTNURWRFYXJEcGluQ2tSbFJwTHd1VVZWajNoMkFTZGVqa3Y4QnJIdUV2NVlZbzlRdTZUYnJHSEdTV1pTWncyZWE5MVBxSmdIb21xdmxBLXgxa1ZoTUdaUFhWQVoyN3dBa0FGOVl5bmdoOWwwRVRZNVpyQ2JLcllaSjJXeklNNFJEakdyWUFsMjRrRkJQZ0lYQlk1VlNLVmRCSFVKZWNqNlNYRTRyR1hoeWlYaTBnZWpyU0wycHdnazU2dm1OMVhYd0lFbjhOQnhwQ2kxNlgyd3ZjcFZkMWVuODlfTWlFMWNFQTd0cFFTWU5PNEltZUxVdG9LZkdmMTV2dHc0UVowUjg1bUZoYkZuWW42SXQ5T1R0cVZLcVRNbEltVEZsTQ?oc=5",
12,2025-09-24 1:24,googlenews,다이어트 유산균,"[울산엘리야병원] 간 건강 위협하는 건강기능식품, 섭취 전 주의사항 반드시 확인해야 - 울산종합일보
https://news.google.com/rss/articles/CBMic0FVX3lxTFBMV0JBbGFDQU4weTV0by1GeWdYcG5ZeGVFX0NVdjJXSlA4NFBBQ0E2SnNwVkhlbGNJZDA2dlpUY3FrNXpTNDFzVmd0RmxGWEhMNWJTX0xzQ0gyV3JFRHNNWWlHZEE1dndDdXYwbEV1eFVXZ3c?oc=5",
13,2025-09-23 20:04,googlenews,다이어트 유산균,"가격대 다양·소포장 구성…할인 행사도 - 네이트
https://news.google.com/rss/articles/CBMiU0FVX3lxTE1EVnhINko5UHV4UUROdmVlTUdoNENzR2NDa0dzQXUwQndJUE9mWC1XbmN6SGtFTnNKMWh5TjVwc0l5N3h1QTBUeGhtZm1qdzRBRzNR?oc=5",
