Date,콜라겐,아르기닌,단백질보충제,단백질쉐이크,알파cd
2024-10-01,15.48966,17.95976,4.17946,23.76151,0.0
2024-10-02,14.01402,18.20264,6.40208,21.24558,0.0
2024-10-03,15.37509,16.30997,6.08588,23.98148,0.0
2024-10-04,16.91489,16.85074,6.8237,25.98414,0.0
2024-10-05,11.4706,15.22386,7.03909,15.80129,0.02291
2024-10-06,18.65634,15.06347,7.46528,23.06493,0.0
2024-10-07,15.97543,19.29334,9.45419,29.28371,0.02291
2024-10-08,17.77645,18.92672,8.49181,21.76343,0.03207
2024-10-09,16.12208,16.92864,8.66596,21.46556,0.0
2024-10-10,21.17684,19.75161,9.81164,25.00343,0.0
2024-10-11,13.72531,18.18431,8.20768,18.98171,0.0
2024-10-12,13.83987,15.13221,7.33696,15.67297,0.03666
2024-10-13,14.24774,15.3201,8.18477,19.23834,0.02291
2024-10-14,19.41707,20.2053,8.87218,26.00705,0.0
2024-10-15,35.84162,35.31918,8.6018,26.38742,0.03207
2024-10-16,34.17808,43.18775,8.22143,23.32157,0.07332
2024-10-17,14.31648,20.91104,7.55235,20.66358,0.02291
2024-10-18,15.61798,20.32904,7.38737,16.99738,0.0
2024-10-19,15.93419,14.68768,6.45249,13.78488,0.0
2024-10-20,13.17538,14.22941,7.07116,15.62714,0.0
2024-10-21,15.70047,18.84423,8.35892,22.08423,0.0
2024-10-22,15.11846,20.46652,8.10686,20.1274,0.02291
2024-10-23,14.50895,21.95591,6.98868,17.73062,0.0
2024-10-24,19.82493,27.57893,6.47541,22.29503,0.0
2024-10-25,19.04587,26.447,5.73759,17.64355,0.0
2024-10-26,14.4448,14.79767,5.23349,12.79959,0.03207
2024-10-27,16.80032,18.33554,6.1592,16.93781,0.0
2024-10-28,13.72072,22.23546,7.19032,21.02103,0.0
2024-10-29,15.63631,25.19132,7.79982,19.54539,0.02291
2024-10-30,14.68768,26.72654,8.24435,20.47568,0.02291
2024-10-31,13.9911,24.86595,6.53957,17.02946,0.02291
