네이버 데이터랩 쇼핑인사이트 > 분야 통계
조회분야
식품 > 다이어트식품 > 단백질보충제
조회기간 : 2025.07.01. ~ 2025.09.30. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","단백질보충제"
"2025-07-01",99
"2025-07-02",96
"2025-07-03",88
"2025-07-04",80
"2025-07-05",70
"2025-07-06",81
"2025-07-07",97
"2025-07-08",92
"2025-07-09",90
"2025-07-10",90
"2025-07-11",84
"2025-07-12",68
"2025-07-13",81
"2025-07-14",96
"2025-07-15",94
"2025-07-16",97
"2025-07-17",88
"2025-07-18",83
"2025-07-19",73
"2025-07-20",78
"2025-07-21",95
"2025-07-22",100
"2025-07-23",96
"2025-07-24",90
"2025-07-25",84
"2025-07-26",72
"2025-07-27",79
"2025-07-28",88
"2025-07-29",92
"2025-07-30",83
"2025-07-31",79
"2025-08-01",54
"2025-08-02",50
"2025-08-03",56
"2025-08-04",64
"2025-08-05",65
"2025-08-06",65
"2025-08-07",62
"2025-08-08",55
"2025-08-09",53
"2025-08-10",57
"2025-08-11",65
"2025-08-12",62
"2025-08-13",56
"2025-08-14",52
"2025-08-15",47
"2025-08-16",47
"2025-08-17",54
"2025-08-18",62
"2025-08-19",63
"2025-08-20",63
"2025-08-21",61
"2025-08-22",52
"2025-08-23",47
"2025-08-24",52
"2025-08-25",62
"2025-08-26",60
"2025-08-27",61
"2025-08-28",60
"2025-08-29",53
"2025-08-30",48
"2025-08-31",54
"2025-09-01",65
"2025-09-02",64
"2025-09-03",63
"2025-09-04",61
"2025-09-05",54
"2025-09-06",52
"2025-09-07",58
"2025-09-08",66
"2025-09-09",64
"2025-09-10",60
"2025-09-11",56
"2025-09-12",49
"2025-09-13",46
"2025-09-14",50
"2025-09-15",59
"2025-09-16",59
"2025-09-17",59
"2025-09-18",55
"2025-09-19",48
"2025-09-20",44
"2025-09-21",48
"2025-09-22",53
"2025-09-23",53
"2025-09-24",54
"2025-09-25",50
"2025-09-26",44
"2025-09-27",40
"2025-09-28",43
"2025-09-29",48
"2025-09-30",46
