순번,기록일시,날짜,검색키워드,출처포털,출처,제목,기사평가,기사평가근거요약,링크
1,2025-09-25 13:58:47,2025-09-25 02:45,다이어트 유산균,구글뉴스,네이트,"작년 추석 2만개 '완판'…GS25, LA갈비세트 올해는 '2+1' - 네이트",분석 제외,분석 제외,https://news.google.com/rss/articles/CBMiU0FVX3lxTE14UlBfblk3ZmJGX2hVMDZuSmZTYVFtdUktS1hzRXlzaG1ULS03VW5XZDNISExUby1uTEFsTEdTR2pxWUdEWnIwUFl5NE1kREN4SnpB?oc=5
2,2025-09-25 13:58:47,2025-09-23 20:04,다이어트 유산균,구글뉴스,네이트,가격대 다양·소포장 구성…할인 행사도 - 네이트,분석 제외,분석 제외,https://news.google.com/rss/articles/CBMiU0FVX3lxTE1EVnhINko5UHV4UUROdmVlTUdoNENzR2NDa0dzQXUwQndJUE9mWC1XbmN6SGtFTnNKMWh5TjVwc0l5N3h1QTBUeGhtZm1qdzRBRzNR?oc=5
3,2025-09-25 13:58:47,2025-09-23 02:04,다이어트 유산균,구글뉴스,SBS Biz,다이어트하려다 간염?…대웅제약 '가르시니아' 회수 - SBS Biz,분석 제외,분석 제외,https://news.google.com/rss/articles/CBMiWEFVX3lxTE5xYXh4M2p3MG00UUc1dXp0U1FxUVNzbDV1NWV1OHdwV2hxNlN1aUdCS0x1OHBwWFA4TV9FZy1FTDJPODlfdkFONG9xYklpM0ZpQlZSVW9TMkHSAVhBVV95cUxOcWF4eDNqdzBtNFFHNXV6dFNRcVFTc2w1dTVldTh3cFdocTZTdWlHQktMdThwcFhQOE1fRWctRUwyTzg5X3ZBTjRvcWJJaTNGaUJWUlVvUzJB?oc=5
4,2025-09-25 13:58:47,2025-09-22 21:03,다이어트 유산균,구글뉴스,매거진한경,"[2025 한국고객만족도 1위] 여성을 위한 건강기능식품, 럭키클로버 - 매거진한경",분석 제외,분석 제외,https://news.google.com/rss/articles/CBMibEFVX3lxTFBiWGkyby1EcFk1Wi1vZHRybnFVZXRZUUM0LTRuSlVtMGZmX01VdXdreFhoQUxBbzM5TUh3Y0tVQ0pzMFZFdVMwUnJPaTdIV2lOYzBmT0c4alBENEFtQXY3NHhrMW1DQW5GblZVSA?oc=5
5,2025-09-25 13:58:47,2025-09-21 23:33,다이어트 유산균,구글뉴스,네이트,'비에날씬' 모델 김희선 바이오니아 본사 초청 및 행사 진행 - 네이트,분석 제외,분석 제외,https://news.google.com/rss/articles/CBMiU0FVX3lxTE1IYkxsYy0zNnpXM0V2d1I5RV9iQmdEc0xvcWtOMnVYU3dSNmdKS2s4MXJPQlpBY01FamhxUVVfRWVnb2pNdVZ3M0RKMVFDWW4zcktr?oc=5
6,2025-09-25 13:58:47,2025-09-19 07:00,다이어트 유산균,구글뉴스,바이오타임즈,"닥터피츠, '메타프로'로 다이어트 유산균의 새로운 기준 제시 - 바이오타임즈",분석 제외,분석 제외,https://news.google.com/rss/articles/CBMibEFVX3lxTE5DaEZDcVU3a1h5dkFtdEFfQUxUNnFSVFppYnhQa0RzVWEtM3ZYclowYW1JR2NtQUt4TFhHOVdUV1ROZEk5bFFpRXhLM0t3LXRqX3R3YjdLck9oelNYenpVZ2JEb2RZeWtnTGROQg?oc=5
7,2025-09-25 13:58:47,2025-09-17 08:52,다이어트 유산균,구글뉴스,MSN,"디엑스앤브이엑스, 헬스케어 제품 해외 공략…""내년 수출 1400만달러 달성"" - MSN",분석 제외,분석 제외,https://news.google.com/rss/articles/CBMizARBVV95cUxPWkZnV2pnX0EwVTVpRG1ObTRENUk1eXp5UGxUNEFkZ2dqLThwSThJZ1NPTC1OTGRGVWJfMTFpNm91ZzNtWENEVnd3RTNCU3pSZE1naFBJdGI3cHZuY1BTVXRPekZWb3p4bkg1VC1tR2VoU21WSW1sUVo0Y2pOSDM1cE1mdkxFMTJJODdUeXoteEtKb3FkNmtsUm5LWVdmTXkwem9hcGpXd3FtQ29qTzNJclNSSkJid0RDOVBfVXI4UUxEMmhFQzlSTFlPVXEwYWw0bUEyTWg1dkNXNE93ZlVUUFMwaFNEQjhXeW56ajNmS0RYeHQ2R0Z4LUZIZ3RZc2JfLTEzMUVYRnpFRDlnRjdUcGJDNlBNcjQwNXZJMGZtYWtSMUxjUlo3R21NbHZUeG94aUw0el9jQ2Vkc25ra3pJa2QyN2g2ZFB6dkFBYjdobk5lZXFXMXA3QmxxLVpSTHJ4N2M3cXUtNGVqbjFIQzQzcjVpSF9ibGctN1BIUlJqQV8xaTFsY2c4cmF3YkpFSkFWZUZWc0d5SDk5WHFyUC1rcFppLWZJa1JfSXVhMEVhQnVtcUFpSDYwU3RfTGpFa0NhN0hpOEh6ak1Ub0FFVW90eU8zUHRudmxPU2d3MUFJbUsxOWN1eGZteEFVMkw4SWZaTnhsSXFCRGVYS1E0eGNWZzVpajdic3pOa2hTYzBSbnJWRGs2UWJ4Mm1rWGZmMU5fX0N2aWRodEhaMm1nSkk4Q1pqNGlyN0FTZUtFUjdsV1FXd2E4NDlZd3lJaXA?oc=5
8,2025-09-25 13:58:47,2025-09-17 00:00,다이어트 유산균,구글뉴스,ESG경제,"특허유산균 다이어트 단백질쉐이크 '메타슬림', 체중관리 대안 '주목' - ESG경제",분석 제외,분석 제외,https://news.google.com/rss/articles/CBMibEFVX3lxTE4waHlaME80elE1VGxjVU9sS1doY2ozeEk1WFQ4QVdXWnloUFVKZGtpRTJCc1k5anR2Wk8yc3hYd2FFNWNVbjdXNmtIeWstZWduNjI3SUM0RkFBb3g0a1RrMmIySHVRRWRXRGpmXw?oc=5
9,2025-09-25 13:58:47,2025-09-14 07:00,다이어트 유산균,구글뉴스,위키트리,"장점이 넘치는 양배추, 특히 아침 공복에 먹으면 더 좋은 이유 - 위키트리",분석 제외,분석 제외,https://news.google.com/rss/articles/CBMiVkFVX3lxTE9pcWpIWnlmYnFxbkh1aUMxTFJEYldwUlI1VVROTFM1MHkzTEE2cUZDMTk5bWJDWGVmaTJfaGQ4V3JSQnRTV1N5UHBDZUM0MTZhd0xVbzN3?oc=5
10,2025-09-25 13:58:47,2025-09-13 20:00,다이어트 유산균,구글뉴스,노컷뉴스,"박용우 ""탄단지는 옛날 이론이죠"" 현대인의 다이어트 유지 방법 핵심은…[의사결정] - 노컷뉴스",분석 제외,분석 제외,https://news.google.com/rss/articles/CBMiUkFVX3lxTE1Hb2JKVEtINUNDV0libHdQMlhMVl9oY1l3NUlsc0xhbnktQkRMZEF2NkFWTnRHR29sMG8tNnl2cDlrWU9kZnpfbXZxeVozRU5vbHc?oc=5
